API,এপিআই,
Access Token,অ্যাক্সেস টোকেন,
Admin,অ্যাডমিন,
Amended From,সংশোধিত,
Blocked,অবরুদ্ধ,
Cancelled,বাতিল,
Closed,বন্ধ,
Completed,সম্পন্ন,
Confirmed,নিশ্চিতকৃত,
Date,তারিখ,
Draft,খসড়া,
Exception Type,ব্যতিক্রম ধরণ,
Expired,মেয়াদউত্তীর্ণ,
Friday,শুক্রবার,
Is Active,সক্রিয়,
Keyboard Shortcuts,কীবোর্ড শর্টকাটগুলি,
Location,অবস্থান,
Monday,সোমবার,
Provider,প্রদানকারী,
Reason,কারণ,
Reference DocType,রেফারেন্স ডকটাইপ,
Reference Name,রেফারেন্স নাম,
Refresh Token,সুদ্ধ করুন টোকেন,
Reload,পুনরায় লোড করুন,
Revoked,প্রত্যাহার করা হয়েছে,
Room,কক্ষ,
Saturday,শনিবার,
Scopes,সুযোগগুলি,
Service,সেবা,
Session Defaults,সেশন ডিফল্ট,
Source,উত্স,
Start Time,সময় শুরু,
Status,অবস্থা,
Sunday,রবিবার,
System Manager,সিস্টেম ম্যানেজার,
Thursday,বৃহস্পতিবার,
Tuesday,মঙ্গলবার,
View Website,ওয়েবসাইট দেখুন,
Wednesday,বুধবার,
created,নির্মিত,
on_submit,on_submit,
